ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
SPRO,Health Care,163282208.0,WATCH,WATCH,,AGREE,done,0,0,0,0,2.61,,,v1-2026-06-09,2026-06-09T16:04:40Z
CURV,Consumer Discretionary,163177488.0,AVOID,AVOID,insolvency,CORROBORATED,done,0,0,1,0,13.66,API event/short-interest confirms the fundamentals AVOID,API distress/short-interest confirms,v1-2026-06-09,2026-06-09T16:04:40Z
WW,Unknown,162479856.0,WATCH,WATCH,,AGREE,done,0,0,0,0,4.71,,,v1-2026-06-09,2026-06-09T16:04:40Z
KORE,Communication Services,161632352.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,6.15,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
CVGI,Industrials,161572800.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
DOUG,Real Estate,160903760.0,WATCH,WATCH,,AGREE,done,0,0,0,0,4.54,,,v1-2026-06-09,2026-06-09T16:04:40Z
CNTX,Health Care,160788560.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
CNTN,Health Care,160551216.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
PLX,Health Care,160337568.0,WATCH,WATCH,,AGREE,done,0,0,0,0,3.89,,,v1-2026-06-09,2026-06-09T16:04:40Z
ONL,Financials,160260784.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,1.57,,,v1-2026-06-09,2026-06-09T16:04:40Z
JELD,Materials,160241456.0,WATCH,WATCH,,AGREE,done,0,0,0,0,5.39,,,v1-2026-06-09,2026-06-09T16:04:40Z
EMIS,Financials,160124704.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
